,result,table,_start,_stop,_time,_value,_field,_measurement
98,_result,51,2022-10-31 04:22:21.251082+00:00,2022-10-31 04:27:21.251082+00:00,2022-10-31 11:25:45.183304+07:00,1.0,HT_VI_2184B.PV,frozen_check
99,_result,52,2022-10-31 04:22:21.251082+00:00,2022-10-31 04:27:21.251082+00:00,2022-10-31 11:22:42.822381+07:00,1.0,HT_VI_2187A.PV,frozen_check
100,_result,52,2022-10-31 04:22:21.251082+00:00,2022-10-31 04:27:21.251082+00:00,2022-10-31 11:25:45.183304+07:00,1.0,HT_VI_2187A.PV,frozen_check
101,_result,53,2022-10-31 04:22:21.251082+00:00,2022-10-31 04:27:21.251082+00:00,2022-10-31 11:22:42.822381+07:00,1.0,HT_VI_2187B.PV,frozen_check
102,_result,53,2022-10-31 04:22:21.251082+00:00,2022-10-31 04:27:21.251082+00:00,2022-10-31 11:25:45.183304+07:00,1.0,HT_VI_2187B.PV,frozen_check
103,_result,54,2022-10-31 04:22:21.251082+00:00,2022-10-31 04:27:21.251082+00:00,2022-10-31 11:22:42.822381+07:00,1.0,HT_VI_2188A.PV,frozen_check
104,_result,54,2022-10-31 04:22:21.251082+00:00,2022-10-31 04:27:21.251082+00:00,2022-10-31 11:25:45.183304+07:00,1.0,HT_VI_2188A.PV,frozen_check
105,_result,55,2022-10-31 04:22:21.251082+00:00,2022-10-31 04:27:21.251082+00:00,2022-10-31 11:22:42.822381+07:00,1.0,HT_VI_2188B.PV,frozen_check
106,_result,55,2022-10-31 04:22:21.251082+00:00,2022-10-31 04:27:21.251082+00:00,2022-10-31 11:25:45.183304+07:00,1.0,HT_VI_2188B.PV,frozen_check
107,_result,56,2022-10-31 04:22:21.251082+00:00,2022-10-31 04:27:21.251082+00:00,2022-10-31 11:22:42.822381+07:00,1.0,HT_ZI_2180A.PV,frozen_check
108,_result,56,2022-10-31 04:22:21.251082+00:00,2022-10-31 04:27:21.251082+00:00,2022-10-31 11:25:45.183304+07:00,1.0,HT_ZI_2180A.PV,frozen_check
109,_result,57,2022-10-31 04:22:21.251082+00:00,2022-10-31 04:27:21.251082+00:00,2022-10-31 11:22:42.822381+07:00,1.0,HT_ZI_2180B.PV,frozen_check
110,_result,57,2022-10-31 04:22:21.251082+00:00,2022-10-31 04:27:21.251082+00:00,2022-10-31 11:25:45.183304+07:00,1.0,HT_ZI_2180B.PV,frozen_check
111,_result,58,2022-10-31 04:22:21.251082+00:00,2022-10-31 04:27:21.251082+00:00,2022-10-31 11:22:42.822381+07:00,1.0,HT_ZI_2181A.PV,frozen_check
112,_result,58,2022-10-31 04:22:21.251082+00:00,2022-10-31 04:27:21.251082+00:00,2022-10-31 11:25:45.183304+07:00,1.0,HT_ZI_2181A.PV,frozen_check
113,_result,59,2022-10-31 04:22:21.251082+00:00,2022-10-31 04:27:21.251082+00:00,2022-10-31 11:22:42.822381+07:00,1.0,HT_ZI_2181B.PV,frozen_check
114,_result,59,2022-10-31 04:22:21.251082+00:00,2022-10-31 04:27:21.251082+00:00,2022-10-31 11:25:45.183304+07:00,1.0,HT_ZI_2181B.PV,frozen_check
0,_result,60,2022-10-31 04:22:21.251082+00:00,2022-10-31 04:27:21.251082+00:00,2022-10-31 11:23:51+07:00,1.0,HT_FI_2190.PV,irv_check
1,_result,60,2022-10-31 04:22:21.251082+00:00,2022-10-31 04:27:21.251082+00:00,2022-10-31 11:23:52+07:00,1.0,HT_FI_2190.PV,irv_check
2,_result,60,2022-10-31 04:22:21.251082+00:00,2022-10-31 04:27:21.251082+00:00,2022-10-31 11:23:53+07:00,1.0,HT_FI_2190.PV,irv_check
3,_result,60,2022-10-31 04:22:21.251082+00:00,2022-10-31 04:27:21.251082+00:00,2022-10-31 11:23:54+07:00,1.0,HT_FI_2190.PV,irv_check
4,_result,60,2022-10-31 04:22:21.251082+00:00,2022-10-31 04:27:21.251082+00:00,2022-10-31 11:23:55+07:00,1.0,HT_FI_2190.PV,irv_check
5,_result,60,2022-10-31 04:22:21.251082+00:00,2022-10-31 04:27:21.251082+00:00,2022-10-31 11:24:04+07:00,1.0,HT_FI_2190.PV,irv_check
6,_result,60,2022-10-31 04:22:21.251082+00:00,2022-10-31 04:27:21.251082+00:00,2022-10-31 11:24:05+07:00,1.0,HT_FI_2190.PV,irv_check
7,_result,60,2022-10-31 04:22:21.251082+00:00,2022-10-31 04:27:21.251082+00:00,2022-10-31 11:24:06+07:00,1.0,HT_FI_2190.PV,irv_check
8,_result,60,2022-10-31 04:22:21.251082+00:00,2022-10-31 04:27:21.251082+00:00,2022-10-31 11:24:07+07:00,1.0,HT_FI_2190.PV,irv_check
9,_result,60,2022-10-31 04:22:21.251082+00:00,2022-10-31 04:27:21.251082+00:00,2022-10-31 11:24:08+07:00,1.0,HT_FI_2190.PV,irv_check
10,_result,60,2022-10-31 04:22:21.251082+00:00,2022-10-31 04:27:21.251082+00:00,2022-10-31 11:24:13+07:00,1.0,HT_FI_2190.PV,irv_check
11,_result,60,2022-10-31 04:22:21.251082+00:00,2022-10-31 04:27:21.251082+00:00,2022-10-31 11:24:14+07:00,1.0,HT_FI_2190.PV,irv_check
12,_result,60,2022-10-31 04:22:21.251082+00:00,2022-10-31 04:27:21.251082+00:00,2022-10-31 11:24:15+07:00,1.0,HT_FI_2190.PV,irv_check
13,_result,60,2022-10-31 04:22:21.251082+00:00,2022-10-31 04:27:21.251082+00:00,2022-10-31 11:24:16+07:00,1.0,HT_FI_2190.PV,irv_check
14,_result,60,2022-10-31 04:22:21.251082+00:00,2022-10-31 04:27:21.251082+00:00,2022-10-31 11:24:17+07:00,1.0,HT_FI_2190.PV,irv_check
15,_result,60,2022-10-31 04:22:21.251082+00:00,2022-10-31 04:27:21.251082+00:00,2022-10-31 11:24:18+07:00,1.0,HT_FI_2190.PV,irv_check
16,_result,60,2022-10-31 04:22:21.251082+00:00,2022-10-31 04:27:21.251082+00:00,2022-10-31 11:24:24+07:00,1.0,HT_FI_2190.PV,irv_check
17,_result,60,2022-10-31 04:22:21.251082+00:00,2022-10-31 04:27:21.251082+00:00,2022-10-31 11:24:25+07:00,1.0,HT_FI_2190.PV,irv_check
18,_result,60,2022-10-31 04:22:21.251082+00:00,2022-10-31 04:27:21.251082+00:00,2022-10-31 11:24:26+07:00,1.0,HT_FI_2190.PV,irv_check
19,_result,60,2022-10-31 04:22:21.251082+00:00,2022-10-31 04:27:21.251082+00:00,2022-10-31 11:24:27+07:00,1.0,HT_FI_2190.PV,irv_check
20,_result,60,2022-10-31 04:22:21.251082+00:00,2022-10-31 04:27:21.251082+00:00,2022-10-31 11:24:28+07:00,1.0,HT_FI_2190.PV,irv_check
21,_result,60,2022-10-31 04:22:21.251082+00:00,2022-10-31 04:27:21.251082+00:00,2022-10-31 11:24:29+07:00,1.0,HT_FI_2190.PV,irv_check
22,_result,60,2022-10-31 04:22:21.251082+00:00,2022-10-31 04:27:21.251082+00:00,2022-10-31 11:24:36+07:00,1.0,HT_FI_2190.PV,irv_check
23,_result,60,2022-10-31 04:22:21.251082+00:00,2022-10-31 04:27:21.251082+00:00,2022-10-31 11:24:37+07:00,1.0,HT_FI_2190.PV,irv_check
24,_result,60,2022-10-31 04:22:21.251082+00:00,2022-10-31 04:27:21.251082+00:00,2022-10-31 11:24:38+07:00,1.0,HT_FI_2190.PV,irv_check
25,_result,60,2022-10-31 04:22:21.251082+00:00,2022-10-31 04:27:21.251082+00:00,2022-10-31 11:24:39+07:00,1.0,HT_FI_2190.PV,irv_check
26,_result,60,2022-10-31 04:22:21.251082+00:00,2022-10-31 04:27:21.251082+00:00,2022-10-31 11:24:40+07:00,1.0,HT_FI_2190.PV,irv_check
27,_result,60,2022-10-31 04:22:21.251082+00:00,2022-10-31 04:27:21.251082+00:00,2022-10-31 11:24:41+07:00,1.0,HT_FI_2190.PV,irv_check
28,_result,60,2022-10-31 04:22:21.251082+00:00,2022-10-31 04:27:21.251082+00:00,2022-10-31 11:24:42+07:00,1.0,HT_FI_2190.PV,irv_check
29,_result,60,2022-10-31 04:22:21.251082+00:00,2022-10-31 04:27:21.251082+00:00,2022-10-31 11:24:43+07:00,1.0,HT_FI_2190.PV,irv_check
30,_result,60,2022-10-31 04:22:21.251082+00:00,2022-10-31 04:27:21.251082+00:00,2022-10-31 11:24:44+07:00,1.0,HT_FI_2190.PV,irv_check
31,_result,60,2022-10-31 04:22:21.251082+00:00,2022-10-31 04:27:21.251082+00:00,2022-10-31 11:24:45+07:00,1.0,HT_FI_2190.PV,irv_check
32,_result,60,2022-10-31 04:22:21.251082+00:00,2022-10-31 04:27:21.251082+00:00,2022-10-31 11:24:46+07:00,1.0,HT_FI_2190.PV,irv_check
33,_result,60,2022-10-31 04:22:21.251082+00:00,2022-10-31 04:27:21.251082+00:00,2022-10-31 11:24:47+07:00,1.0,HT_FI_2190.PV,irv_check
34,_result,60,2022-10-31 04:22:21.251082+00:00,2022-10-31 04:27:21.251082+00:00,2022-10-31 11:24:48+07:00,1.0,HT_FI_2190.PV,irv_check
35,_result,60,2022-10-31 04:22:21.251082+00:00,2022-10-31 04:27:21.251082+00:00,2022-10-31 11:24:49+07:00,1.0,HT_FI_2190.PV,irv_check
36,_result,60,2022-10-31 04:22:21.251082+00:00,2022-10-31 04:27:21.251082+00:00,2022-10-31 11:24:50+07:00,1.0,HT_FI_2190.PV,irv_check
37,_result,60,2022-10-31 04:22:21.251082+00:00,2022-10-31 04:27:21.251082+00:00,2022-10-31 11:24:51+07:00,1.0,HT_FI_2190.PV,irv_check
38,_result,60,2022-10-31 04:22:21.251082+00:00,2022-10-31 04:27:21.251082+00:00,2022-10-31 11:24:52+07:00,1.0,HT_FI_2190.PV,irv_check
39,_result,60,2022-10-31 04:22:21.251082+00:00,2022-10-31 04:27:21.251082+00:00,2022-10-31 11:24:53+07:00,1.0,HT_FI_2190.PV,irv_check
40,_result,60,2022-10-31 04:22:21.251082+00:00,2022-10-31 04:27:21.251082+00:00,2022-10-31 11:24:54+07:00,1.0,HT_FI_2190.PV,irv_check
